GUID,Number_of_Delayed_Tasks,Delayed_Task_IDs,Delayed_Task_Names,Canonical_IfcClass
30lLUpIrn2ZuQyxHk7VhVN,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",window
35RN67XT97Yf4RD7yob_aA,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",window
3A49M9XoT41xT2ZQVzBDWL,1,ST01060,Metselwerk,wall
3Abfu4cxb8me5idsmMiuQW,1,ST01060,Metselwerk,wall
3CiG04vaX9dhv09XiJC7h9,2,"ST01060, ST01070",Metselwerk,covering
3D886uE8nC_u7gVowVUefH,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",window
3DFpyyngv1WBQdB9BEI0nU,1,ST01060,Metselwerk,wall
3DQAcKPffEhwOXIjeyMpIE,1,ST00970,Plaatsen kozijnen,window
3FNr31KWz2POCkPE9OKDKd,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",window
3I6o0g8NP88eHPndAy9gn4,1,ST01060,Metselwerk,wall
3IjHPauEj5FuXRrnjZiBjc,2,"ST01000, ST01060","Metselwerk, Prefab betonband",covering
3J$rWxkAT6dPBThmMFnq3D,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",window
3JeH1TgU11swcYtanRKEDB,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",window
3KXR0dmPz9z88ygv8bEyfC,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",window
3MtabSy8f4puHZkXog0Z3d,2,"ST01060, ST01070",Metselwerk,wall
3N_v6bLk90ohUiekjvwfUg,1,ST01060,Metselwerk,covering
3Q1RvU_YPBVg$Q1fKA0eMk,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",window
3SO2uOUiP3Dgcarf4b7c6I,2,"ST01000, ST01060","Metselwerk, Prefab betonband",covering
3WVs7bYiv3q99tB5Zb77_R,2,"ST01000, ST01060","Metselwerk, Prefab betonband",covering
3cLN2NeizAc9cVL87UdD1o,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",window
3cdRRIm555dRPBMjJlk_ly,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",window
3crAg8d312MuSJITDB34Eq,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",window
3gaK_nAdLFSBoj7jgT3$_h,1,ST01060,Metselwerk,wall
3ijx2kT49BVvFZhWoW37WY,1,ST01060,Metselwerk,wall
3im2zdKh1FoOc02vbggghz,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",window
3iuBHxrKLCNfmlduXhwGgW,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",window
3jAqpCbZ5BZgfx_7te3yGX,2,"ST01000, ST01060","Metselwerk, Prefab betonband",covering
3mPK0nx8TE0QLlRNYWpvJ2,2,"ST01000, ST01060","Metselwerk, Prefab betonband",covering
3qI00aCkH6E9cjz8qe6CZ6,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",window
3qOlkor2HBSvpamf_gJPd_,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",door
3st7cKBzTCWgljW4IsFWpM,1,ST01060,Metselwerk,wall
3tluGaSF578Pu1p8j0vdmu,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",window
3wEOZa7WX0Kgfc4wZlFgQa,2,"ST01060, ST01070",Metselwerk,wall
3yTN0URKf82Baf1aBhr$Le,1,ST01060,Metselwerk,wall
3zaIWtl1164ODDOMKPXAPD,2,"ST00510, ST01130","Lijmwerk kalkzandsteen elementen, Plaatsen scharnierkap incl. goot en platte daken",slab
