TaskID,TaskName,Planned_Start,Planned_Finish,Planned_Records,Planned_Elements,Observed_Records,Observed_Elements,Late_Records,Delayed_Elements,Observation_Coverage_Percent,Observed_Delay_Rate_Percent,Planned_Duration_Days,Task_Coverage_Status,Task_Delay_Status
ST01000,Prefab betonband,2015-08-17,2015-08-18,84,84,84,84,10,10,100.0,11.9,2,Fully observed,Contains late elements
ST00890,Wapening,2015-08-18,2015-08-19,9,9,9,9,0,0,100.0,0.0,2,Fully observed,No late elements recorded
ST00910,Stort,2015-08-20,2015-08-20,9,9,9,9,0,0,100.0,0.0,1,Fully observed,No late elements recorded
ST01130,Plaatsen scharnierkap incl. goot en platte daken,2015-08-28,2015-09-17,313,313,313,313,2,2,100.0,0.64,21,Fully observed,Contains late elements
ST01150,Zinken bekleding dakkapelen,2015-08-28,2015-09-03,80,80,80,80,0,0,100.0,0.0,7,Fully observed,No late elements recorded
ST01170,Dakramen,2015-08-28,2015-09-03,85,85,85,85,0,0,100.0,0.0,7,Fully observed,No late elements recorded
ST01200,Dakbedekking platte daken,2015-08-28,2015-09-03,38,38,38,38,0,0,100.0,0.0,7,Fully observed,No late elements recorded
ST01220,Dakpannen,2015-09-04,2015-09-17,30,30,30,30,0,0,100.0,0.0,14,Fully observed,No late elements recorded
ST01260,Afbouw,2015-09-07,2015-12-31,3505,3505,0,0,0,0,0.0,,116,Not represented in as-built log,No late elements recorded
ST01210,Dakbedekking platte daken,2015-09-18,2015-10-01,47,47,47,47,0,0,100.0,0.0,14,Fully observed,No late elements recorded
ST01160,Zinken bekleding dakkapelen,2015-09-21,2015-10-02,149,149,149,149,0,0,100.0,0.0,12,Fully observed,No late elements recorded
ST01230,Dakpannen,2015-09-29,2015-10-12,12,12,12,12,0,0,100.0,0.0,14,Fully observed,No late elements recorded
ST01250,Zink goot,2015-10-09,2015-10-15,12,12,12,12,0,0,100.0,0.0,7,Fully observed,No late elements recorded
