GUID,IfcClass,ElementName,Description,ObjectType,Tag,TypeName,BuildingStorey,HasGeometry
1KC2GMGjj1Q8KK$8MjW5d6,IfcCovering,zinkwerk,,,54302416-42DB-4168-8514-FC85AD8059C6,99 Brandwering,01 eerste verdieping,True
0IYnx7SOL3YBzxebWvFcCV,IfcCovering,zinkwerk,,,128B1EC7-7185-4388-BF7B-A258393E631F,99 Brandwering,01 eerste verdieping,True
1TlHtcbm15eOcrp$_oGhrr,IfcCovering,zinkwerk,,,5DBD1DE6-9700-45A1-89B5-CFFFB242BD75,99 Brandwering,01 eerste verdieping,True
2jRhoV0ev1VAq3KZazh2sK,IfcCovering,zinkwerk,,,AD6EBC9F-028E-417C-AD03-52393DAC2D94,99 Brandwering,01 eerste verdieping,True
3ZRTDE$C96I85Tz1OtxuqC,IfcCovering,zinkwerk,,,E36DD34E-FCC2-4648-815D-F41637EF8D0C,99 Brandwering,01 eerste verdieping,True
0gkV4NZqDAWgRSPa4jqBv5,IfcCovering,zinkwerk,,,2AB9F117-8F43-4A82-A6DC-66412DD0BE45,99 Brandwering,01 eerste verdieping,True
0DZmI2RXv8c858uA5nQiLP,IfcCovering,zinkwerk,,,0D8F0482-6E1E-4898-8148-E0A1716AC559,99 Brandwering,01 eerste verdieping,True
0p_7314vT4BhkGG9k0x5Lu,IfcCovering,afdekker,,,33F870C1-1397-442E-BB90-409B80EC5578,IFC_Vebo_raamdorpel_RD 60/100x160 160 x 100,01 eerste verdieping,True
0e7PtYW8nDpgk7SFQZf7aY,IfcCovering,afdekker,,,281D9DE2-808C-4DCE-AB87-70F6A3A47922,IFC_Vebo_raamdorpel_RD 60/100x160 160 x 100,01 eerste verdieping,True
0dHpREmJf3jwoAHTALOknt,IfcCovering,afdekker,,,274736CE-C13A-43B7-AC8A-45D29562EC77,IFC_Vebo_raamdorpel_RD 60/100x160 160 x 100,01 eerste verdieping,True
0CrHGieGn0sgXKAhktshgq,IfcCovering,afdekker,,,0CD5142C-A10C-40DA-A854-2ABBB7DABAB4,IFC_Vebo_raamdorpel_RD 60/100x160 160 x 100,01 eerste verdieping,True
2HOGtMDHb02uN$Ug7vg0Sq,IfcCovering,afdekker,,,91610DD6-3519-400B-85FF-7AA1F9A80734,IFC_Vebo_raamdorpel_RD 60/100x160 160 x 100,01 eerste verdieping,True
2oUrtchb99ehqqD7tXASaT,IfcCovering,afdekker,,,B27B5DE6-AE52-49A2-BD34-347DE129C91D,IFC_Vebo_raamdorpel_RD 60/100x160 160 x 100,01 eerste verdieping,True
3G5n9Nodf0RxCqOsqQk8Tc,IfcCovering,gevelisolatie,,,D0171257-CA7A-406F-B334-636D1AB88766,"IFC_HSB_184_wandelement_Rc=3,67 184",01 eerste verdieping,True
12OyChLMz8KxpdSCxM$EiO,IfcCovering,gevelisolatie,,,4263C32B-556F-4853-BCE7-70CED6FCEB18,"IFC_HSB_184_wandelement_Rc=3,67 184",01 eerste verdieping,True
1FYvP9cozFmwZW6OwBaJV8,IfcCovering,gevelisolatie,,,4F8B9649-9B2F-4FC3-A8E0-198E8B9137C8,IFC_isolatie_115mm_glaswol 115,01 eerste verdieping,True
