BuildingGUID,GUID,IfcClass,Nl-sfb,Material,TaskID,Resource,TaskName,TaskStart,TaskFinish,Element on time or not,IfcClass_Clean,PlannedDurationDays,BIM_IfcClass,BIM_ElementName,BIM_Description,BIM_ObjectType,BIM_Tag,BIM_TypeName,BIM_BuildingStorey,BIM_HasGeometry,BIM_IfcClass_Clean,Class_Exact_Match,Class_Relationship,Canonical_IfcClass
2CKEPCy9T9zQMKorZoDrni,3nuZBqIJf0aQghu9vJTCMz,IfcCovering,4110_buitenwandafwerkingen,99 Brandwering,ST01150,zinkwerk_(#478317),Zinken bekleding dakkapelen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#478317),,,54302416-42DB-4168-8514-FC85AD8059C6,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,1TCChn1M96QfdlGXe4OAJA,IfcCovering,4110_buitenwandafwerkingen,99 Brandwering,ST01170,zinkwerk_(#478555),Dakramen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#478555),,,128B1EC7-7185-4388-BF7B-A258393E631F,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,1TCChn1M96QfdlGXe4OAJA,IfcCovering,4110_buitenwandafwerkingen,99 Brandwering,ST01150,zinkwerk_(#478555),Zinken bekleding dakkapelen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#478555),,,128B1EC7-7185-4388-BF7B-A258393E631F,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,3TNOY4gIv78wIoJDhbIbt_,IfcCovering,4110_buitenwandafwerkingen,99 Brandwering,ST01170,zinkwerk_(#478793),Dakramen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#478793),,,5DBD1DE6-9700-45A1-89B5-CFFFB242BD75,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,3TNOY4gIv78wIoJDhbIbt_,IfcCovering,4110_buitenwandafwerkingen,99 Brandwering,ST01150,zinkwerk_(#478793),Zinken bekleding dakkapelen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#478793),,,5DBD1DE6-9700-45A1-89B5-CFFFB242BD75,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,1R2esXTU1CHOFX9dxcwrV$,IfcCovering,4110_buitenwandafwerkingen,99 Brandwering,ST01170,zinkwerk_(#479031),Dakramen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#479031),,,AD6EBC9F-028E-417C-AD03-52393DAC2D94,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,1R2esXTU1CHOFX9dxcwrV$,IfcCovering,4110_buitenwandafwerkingen,99 Brandwering,ST01150,zinkwerk_(#479031),Zinken bekleding dakkapelen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#479031),,,AD6EBC9F-028E-417C-AD03-52393DAC2D94,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,0Z7VhvtO9EQwgHzDx5f16y,IfcCovering,4110_buitenwandafwerkingen,99 Brandwering,ST01170,zinkwerk_(#479197),Dakramen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#479197),,,E36DD34E-FCC2-4648-815D-F41637EF8D0C,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,0Z7VhvtO9EQwgHzDx5f16y,IfcCovering,4110_buitenwandafwerkingen,99 Brandwering,ST01150,zinkwerk_(#479197),Zinken bekleding dakkapelen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#479197),,,E36DD34E-FCC2-4648-815D-F41637EF8D0C,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,2yudVvusXBjwBK3hgLvUi8,IfcCovering,4110_buitenwandafwerkingen,99 Brandwering,ST01170,zinkwerk_(#479345),Dakramen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#479345),,,2AB9F117-8F43-4A82-A6DC-66412DD0BE45,,Storey-1,True,covering,True,Exact match,covering
