GUID,IfcClass,ElementName,Description,ObjectType,Tag,TypeName,BuildingStorey,HasGeometry
1IkMAufiDA4vqrjcPl5Z57,IfcBeam,HEB220_(#991552),,,497D2079-AE45-4484-BA91-F26AF2756CB7,,Storey-1,True
0072BkD$fDP9svdiwlWliC,IfcBeam,HEA220_(#989657),,,DC1EA186-09B6-49EF-8C16-F7911216E083,,Storey-1,True
2YR$saAx9BXv5egdnvPRhc,IfcBeam,HEB220_(#989980),,,44F1AD5E-73AD-41F1-9BA2-0B74E29561CF,,Storey-1,True
1smYPHs_19kQG0RCmc8mGP,IfcBeam,HEA220_(#990294),,,AC9C54F5-E0D5-46A8-9643-B9AC61436D4B,,Storey-1,True
0v9VBDJOfAE82myFsD1Yrq,IfcBeam,HEB220_(#987701),,,703D5C74-A974-4BB8-A7FF-9A9308C13DE4,,Storey-1,True
3y_xPwrs58VfLn7mec6uSK,IfcBeam,HEA220_(#990608),,,33EA59BC-688E-46C1-BDD7-099CC6E22C88,,Storey-1,True
3x8FpcNtn5dhlulWMrejSh,IfcBeam,fund_strook_(#5860),,,7249C765-5305-49C2-98EB-C367CE948AD3,,Storey-1,True
1KASldv$r8FgJ_cnX$UWsD,IfcBeam,fund_poer_(#8265),,,DE8201FC-2787-4D1C-8DEB-8DA04A28DC78,,Storey-1,True
2nGF21ODz3XRuB8OGTFDs8,IfcBeam,fund_opstort_(#1149),,,FC544678-2E0A-4541-AC6A-41BCD8F5AB40,,Storey-1,True
29BOVlph15px1swoAw3ZkS,IfcBeam,fund_strook_(#12894),,,F5FD27C2-9E54-4A63-8343-853FD49C90B2,,Storey-1,True
3aoUNqsM1FGhb_SiPhOfAR,IfcBeam,fund_opstort_(#6465),,,ECA88BE2-94DD-48A8-A4F6-3B32B45B895F,,Storey-1,True
3QPQ0M3XLDPQT3whn6YFzl,IfcBeam,fund_strook_(#12181),,,030D491B-06E5-481A-81B4-A148219A9ECF,,Storey-1,True
2mDRqz_0n11QrR8$KLRplg,IfcBeam,fund_strook_(#639),,,64109441-AF2A-45EA-AFB6-1828B94ADFF8,,Storey-1,True
0ZOrCFqKrF_Ox7WOTGyQmt,IfcBeam,liftputwand_(#5377),,,63533AEC-B5BE-4591-A597-08B67BA47955,,Storey-1,True
3eW1ejUUD8Z83etxIha2Q6,IfcBeam,fund_strook_(#5041),,,DFC6FC87-1C73-46DA-8935-11FC512483BC,,Storey-1,True
1rmhw$lQ96KvGwXixf1ieA,IfcBeam,fund_strook_(#13021),,,9EDDCEC9-167E-434D-BE22-122E09334665,,Storey-1,True
0MQhyBS6f8CB_MlOiBxhFK,IfcBeam,fund_opstort_(#6299),,,2D0FCCEC-11EF-4F99-A1A4-D87F5C1F1DC8,,Storey-1,True
0wc9xUAq1D8gPTinpIsyhl,IfcBeam,fund_strook_(#6129),,,6CEE971A-D49C-471B-B983-FFEB67B7C616,,Storey-1,True
